,CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?
2087,20,2025-01-04 18:36:00,2,276,118,1097,361,306,1736,II
2104,37,2025-01-07 23:12:00,2,269,108,744,259,82,1358,II
2162,95,2025-01-21 09:24:00,2,135,144,452,118,228,744,II
2168,101,2025-01-22 08:36:00,4,188,130,367,98,195,600,II
2185,118,2025-01-24 12:12:00,1,121,108,428,154,255,744,II
2231,164,2025-01-30 16:00:00,4,104,134,301,112,100,554,II
2236,169,2025-01-31 14:24:00,2,79,112,294,69,178,446,II
2245,5,2025-02-02 05:24:00,7,246,190,679,522,105,1953,III
2249,9,2025-02-02 21:00:00,5,187,200,437,151,103,781,III
2263,23,2025-02-05 02:00:00,4,207,96,440,126,224,710,II
2275,35,2025-02-06 13:36:00,3,175,300,1842,128,1565,1957,IV
2300,60,2025-02-14 21:48:00,2,90,102,338,68,218,488,II
2305,65,2025-02-15 14:48:00,1,87,108,1644,319,868,1953,II
2317,77,2025-02-19 19:12:00,2,19,100,844,184,459,1157,II
2334,94,2025-02-21 09:24:00,9,288,102,504,227,201,1236,II
2359,119,2025-02-24 21:12:00,3,356,338,1454,568,343,1953,IV
2381,141,2025-02-28 17:12:00,1,276,146,1157,241,624,1615,II
2390,6,2025-03-02 10:00:00,2,326,94,437,28,388,499,II
2441,57,2025-03-15 05:12:00,3,223,92,905,344,449,1644,II
2461,77,2025-03-19 05:12:00,13,14,126,264,141,114,702,II
2464,80,2025-03-19 08:12:00,5,183,152,1349,607,351,2016,II
2484,100,2025-03-22 16:24:00,4,271,128,868,696,183,1953,II
2524,140,2025-03-28 15:24:00,9,144,360,1644,556,328,1953,IV
2564,18,2025-04-05 04:24:00,9,72,166,325,98,107,466,II
2621,75,2025-04-12 23:36:00,4,146,94,258,20,221,303,II
2622,76,2025-04-13 07:00:00,6,175,228,416,98,150,637,III
2650,104,2025-04-19 00:00:00,2,158,98,512,174,218,801,II
2659,113,2025-04-20 21:48:00,4,287,96,242,49,150,357,II
2773,60,2025-05-12 23:24:00,10,354,138,306,63,134,440,II
2779,66,2025-05-13 15:00:00,5,35,108,256,46,152,328,II
2790,77,2025-05-14 06:24:00,4,310,118,466,128,204,781,II
2793,80,2025-05-14 08:12:00,5,72,122,664,415,292,1736,II
2811,98,2025-05-18 23:36:00,5,328,94,212,34,157,315,II
2861,148,2025-05-30 07:12:00,8,107,132,197,133,100,568,II
2866,153,2025-05-30 23:48:00,5,188,230,822,647,206,1967,III
